about|about,auto,boat,bout,bat,but,out,tub
plants|plant,last,pant,past,plan,salt,slap,snap,spat,apt,lap,pan,pat,tap
plasma|lamp,palm,slam,slap,lap,map
plate|leapt,plate,late,leap,pale,peal,plea,tale,tape,apt,eat,lap,let,pat,pet,tap,tea
plates|steal,lapse,plate,leapt,least,stale,spate,east,tape,tale,late,leap,step,seal,past,peal,pale,plea,sale,salt,spat,slap,seat,last,tea,sea,pet,pat,apt,let,lap,tap,eat,set
played|delay,plead,deal,lady,lead,leap,pale,peal,play,plea,yelp,day,lap,lay,pad,pay
player|player,early,layer,relay,reply,leap,pale,peal,play,plea,pray,rape,real,rely,year,yelp,ear,era,lap,lay,pay,per,rap
plays|play,slap,lap,lay,pay,say,sly,spy
please|asleep,please,lapse,sleep,ease,else,leap,pale,peal,peel,plea,sale,seal,slap,lap,sea,see
plenty|plenty,type,yelp,let,net,pen,pet,ten,yet
plots|lost,lots,plot,post,slop,slot,spot,stop,lot,opt,pot,top
plugin|gulp,lung,gun,lip,nip,pig,pin
pocket|pocket,cope,poet,poke,ceo,cop,etc,opt,pet,pot,toe,top
poet|poet,opt,pet,pot,toe,top
poetry|poetry,poet,port,rope,tore,type,opt,per,pet,pot,pro,toe,top,toy,try,yet
point|point,into,nip,not,opt,pin,pit,pot,tip,top
points|point,into,post,spin,spit,spot,stop,its,nip,not,opt,pin,pit,pot,sin,sit,son,tip,top
poison|spoon,soon,spin,nip,pin,sin,son
poland|land,load,loan,plan,pond,and,dna,lap,nod,old,pad,pan
police|police,clip,cope,pile,pole,ceo,cop,ice,lie,lip,oil,pie
policy|policy,clip,copy,cop,lip,oil
polish|polish,spoil,ship,shop,slip,slop,soil,hip,his,hop,lip,oil
portal|patrol,atop,oral,part,plot,port,prat,rapt,trap,apt,art,lap,lot,opt,pat,pot,pro,rap,rat,tap,top
porter|report,poet,port,rope,tore,opt,per,pet,pot,pro,toe,top
ports|sport,port,post,sort,spot,stop,opt,pot,pro,top
posing|sign,sing,song,spin,nip,pig,pin,sin,son
post|post,spot,stop,opt,pot,top
postal|also,atop,last,lost,lots,past,plot,post,salt,slap,slop,slot,soap,spat,spot,stop,apt,lap,lot,opt,pat,pot,tap,top
posted|dotes,dose,poet,pose,post,spot,step,stop,dot,opt,pet,pot,set,toe,top
poster|poster,sport,store,poet,port,pose,post,rest,rope,rose,sort,spot,step,stop,tore,opt,per,pet,pot,pro,set,toe,top
posts|post,spot,stop,toss,opt,pot,top
potato|potato,atop,apt,opt,pat,pot,tap,too,top
potter|poet,port,rope,tore,trot,opt,per,pet,pot,pro,toe,top
pounds|pound,sound,pond,soup,spun,upon,nod,son,sun
powder|powder,pored,power,roped,drop,prod,rope,word,owe,per,pro,red,rod,row,wed
power|power,rope,owe,per,pro,row
powers|power,worse,pose,rope,rose,owe,per,pro,row
prague|argue,grape,purge,gape,gear,page,pure,rage,rape,urge,age,ear,era,gap,per,rap
praise|praise,arise,prise,raise,spare,pair,rape,rasp,rips,rise,air,ear,era,per,pie,rap,rip,sea,sir
prayer|prayer,parry,pray,rape,rare,rear,year,ear,era,pay,per,rap
prefer|prefer,refer,free,peer,fee,per
prefix|fire,rife,fix,per,pie,rip
pretty|pretty,type,per,pet,try,yet
price|price,rice,ice,per,pie,rip
priced|price,pride,dire,rice,ride,die,dip,ice,per,pie,red,rid,rip
prices|price,prise,rice,rips,rise,ice,per,pie,rip,sir
pride|pride,dire,ride,die,dip,per,pie,red,rid,rip
priest|priest,stripe,prise,spite,strip,rest,rips,rise,site,spit,step,stir,tire,trip,its,per,pet,pie,pit,rip,set,sir,sit,tie,tip
prince|prince,price,nice,pine,rein,rice,ice,nip,pen,per,pie,pin,rip
print|print,trip,nip,pin,pit,rip,tip
prints|sprint,print,strip,rips,spin,spit,stir,trip,its,nip,pin,pit,rip,sin,sir,sit,tip
prison|prison,iron,rips,spin,nip,nor,pin,pro,rip,sin,sir,son
prizes|prise,prize,rips,rise,size,per,pie,rip,sir
profit|profit,port,riot,trip,fit,for,opt,pit,pot,pro,rip,tip,top
prompt|prompt,port,mop,opt,pop,pot,pro,top
proud|proud,drop,pour,prod,our,pro,rod
proved|pored,prove,roped,roved,drop,over,prod,rope,per,pro,red,rod
proven|prone,prove,open,oven,over,rope,nor,one,pen,per,pro
prozac|crop,cap,car,cop,pro,rap,zap
pubmed|bumped,dumb,dump,bed,due,mud
puerto|erupt,outer,route,poet,port,pour,pure,rope,tore,tour,true,opt,our,out,per,pet,pot,pro,put,toe,top
purse|purse,super,pure,spur,sure,user,per,sue,use
pursue|pursue,purse,super,pure,spur,sure,user,per,sue,use
pushed|push,shed,used,due,hue,she,sue,use
python|hop,hot,not,opt,pot,top,toy
quotes|quest,quote,out,set,sue,toe,use
rabbit|rabbit,air,art,bar,bat,bit,rat,rib
races|scare,care,case,race,car,ear,era,sea
rachel|clear,reach,care,each,heal,hear,race,real,car,ear,era,her
racing|grain,gain,grin,rain,ring,air,can,car
radio|radio,road,aid,air,rid,rod
radios|radio,aids,road,soar,aid,air,rid,rod,sad,sir
radius|aids,aid,air,rid,sad,sir
raise|arise,raise,rise,air,ear,era,sea,sir
raised|arise,aside,raise,aide,aids,dare,dear,dire,idea,read,ride,rise,side,aid,air,die,ear,era,red,rid,sad,sea,sir
raises|arise,raise,rise,air,ass,ear,era,sea,sir
random|random,roman,damn,norm,road,roam,and,arm,dam,dna,mad,man,nod,nor,rod
randy|yard,and,any,day,dna,dry
range|anger,range,earn,gear,near,rage,age,ear,era
ranger|anger,range,earn,gear,near,rage,rare,rear,age,ear,era
ranges|anger,range,earn,gear,near,rage,rags,age,ear,era,gas,sea
ranked|naked,raked,dank,dare,dark,dear,earn,near,rank,read,and,dna,ear,end,era,red
rapid|rapid,pair,aid,air,dip,pad,rap,rid,rip
rapids|rapid,aids,pair,rasp,rips,aid,air,dip,pad,rap,rid,rip,sad,sir
rarely|rarely,early,layer,relay,rare,real,rear,rely,year,ear,era,lay
rate|rate,tear,art,ear,eat,era,rat,tea
rated|trade,dare,dart,date,dear,rate,read,tear,art,ear,eat,era,rat,red,tea
rates|stare,east,rate,rest,seat,star,tear,art,ear,eat,era,rat,sea,set,tea
rather|rather,earth,heart,hate,hear,heat,rare,rate,rear,tear,art,ear,eat,era,hat,her,rat,tea,the
rating|rating,giant,grain,grant,train,gain,gait,grin,rain,ring,air,art,rat,tag
ratios|ratio,stair,riot,soar,sort,star,stir,air,art,its,rat,sir,sit
reach|reach,care,each,hear,race,car,ear,era,her
read|dare,dear,read,ear,era,red
reader|reader,reared,dare,dear,deer,rare,read,rear,ear,era,red
reads|dare,dear,read,ear,era,red,sad,sea
ready|ready,dare,dear,read,yard,year,day,dry,ear,era,red
really|really,alley,early,layer,rally,relay,ally,real,rely,year,yell,all,ear,era,lay
realm|realm,male,meal,real,ream,arm,ear,era
realty|alter,early,later,layer,relay,late,rate,real,rely,tale,tear,tray,year,art,ear,eat,era,lay,let,rat,tea,try,yet
reason|reason,earn,near,nose,rose,soar,ear,era,nor,one,sea,son
rebate|bare,bear,beat,beer,rate,tear,tree,art,bar,bat,bee,bet,ear,eat,era,rat,tea
recall|recall,clear,call,care,cell,race,real,all,car,ear,era
recent|center,centre,recent,enter,rent,teen,tree,etc,net,ten
recipe|recipe,piece,price,peer,rice,ice,per,pie,rip
record|record,order,code,cord,core,ceo,red,rod
reduce|reduce,cure,deer,cue,due,red
refine|finer,fine,fire,free,rein,rife,fee
reform|former,reform,form,from,more,for
refund|under,fund,due,end,fun,fur,red,run
refuse|refuse,free,sure,user,fee,fur,see,sue,use
regard|regard,grade,raged,dare,dear,drag,gear,rage,rare,read,rear,age,ear,era,red
reggae|agree,eager,gear,rage,age,ear,egg,era
region|ignore,region,grin,iron,rein,ring,ego,nor,one
rehab|bare,bear,hear,herb,bar,ear,era,her
relate|relate,alter,elate,later,late,leer,rate,real,tale,tear,tree,art,ear,eat,era,let,rat,tea
relay|early,layer,relay,real,rely,year,ear,era,lay
relief|relief,rifle,feel,file,fire,flee,free,leer,life,rife,fee,lie
reload|dare,deal,dear,lead,load,lord,oral,read,real,road,role,ear,era,old,red,rod
remain|marine,remain,earn,main,mane,mean,mine,name,near,rain,ream,rein,aim,air,arm,ear,era,man,rim
remark|marker,remark,maker,make,mark,rare,ream,rear,arm,ear,era
remedy|reedy,deem,deer,mere,dry,eye,red
remind|remind,dire,mind,mine,rein,ride,die,dim,din,end,red,rid,rim
remote|remote,meter,meet,mere,more,term,tore,tree,toe
remove|remove,ever,mere,more,move,over
rental|rental,alter,later,learn,earn,lane,late,lean,near,neat,rate,real,rent,tale,tear,art,ear,eat,era,let,net,rat,tea,ten
repair|repair,pair,rape,rare,rear,air,ear,era,per,pie,rap,rip
repeat|repeat,part,peer,prat,rape,rapt,rate,tape,tear,trap,tree,apt,art,ear,eat,era,pat,per,pet,rap,rat,tap,tea
report|report,poet,port,rope,tore,opt,per,pet,pot,pro,toe,top
rescue|rescue,secure,cure,sure,user,cue,see,sue,use
resist|resist,sister,rest,rise,site,stir,tire,its,set,sir,sit,tie
resort|resort,store,rest,rose,sort,tore,set,toe
result|result,rustle,rest,rule,sure,true,user,let,set,sue,use
resume|resume,mere,seem,sure,user,mrs,see,sue,sum,use
retail|retail,alter,irate,later,trail,trial,late,rail,rate,real,tail,tale,tear,tile,tire,air,art,ear,eat,era,let,lie,rat,tea,tie
retain|retain,inter,irate,train,earn,near,neat,rain,rate,rein,rent,tear,tire,air,art,ear,eat,era,net,rat,tea,ten,tie
return|return,rent,true,tune,turn,net,nut,run,ten
reveal|reveal,leave,ever,leer,real,ear,era
reward|drawer,reward,dare,dear,draw,rare,read,rear,wear,ear,era,raw,red,war,wed
rider|rider,dire,ride,die,red,rid
riders|rider,dire,ride,rise,side,die,red,rid,sir
rides|dire,ride,rise,side,die,red,rid,sir
ridge|ridge,dire,ride,die,dig,red,rid
riding|rigid,grin,ring,dig,din,rid
rights|rights,right,shirt,sight,shit,sigh,stir,this,his,hit,its,sir,sit
rings|grin,ring,sign,sing,sin,sir
rising|rising,grin,ring,sign,sing,sin,sir
robots|boost,robot,boot,root,soot,sort,too
robust|burst,bout,bust,ours,sort,sour,tour,bus,but,our,out,rub,tub
rocket|rocket,core,rock,tore,ceo,etc,toe
roland|land,load,loan,lord,oral,road,and,dna,nod,nor,old,rod
rolled|doll,lord,role,roll,old,red,rod
roman|roman,norm,roam,arm,man,nor
ronald|land,load,loan,lord,oral,road,and,dna,nod,nor,old,rod
roster|resort,store,rest,rose,sort,tore,set,toe
rotary|roar,tray,art,rat,toy,try
round|round,nod,nor,our,rod,run
rounds|round,sound,ours,sour,nod,nor,our,rod,run,son,sun
route|outer,route,tore,tour,true,our,out,toe
router|outer,route,tore,tour,true,our,out,toe
routes|outer,route,store,ours,rest,rose,sort,sour,sure,tore,tour,true,user,our,out,set,sue,toe,use
ruling|luring,ruling,girl,grin,lung,ring,ruin,gun,run
rwanda|award,drawn,dawn,draw,warn,and,dna,raw,wan,war
sacred|sacred,scared,raced,scare,card,care,case,dare,dear,race,read,car,ear,era,red,sad,sea
safely|safely,false,easy,flay,leaf,safe,sale,seal,self,fly,lay,say,sea,sly,yes
safer|fare,fear,safe,ear,era,far,sea
safety|safety,feast,east,easy,fast,fate,safe,seat,stay,eat,fat,say,sea,set,tea,yes,yet
salem|male,meal,sale,same,seal,slam,sea
sales|sales,less,sale,seal,ass,sea
salmon|salmon,moans,also,loan,slam,man,son
sample|sample,ample,lapse,lamp,leap,male,meal,pale,palm,peal,plea,sale,same,seal,slam,slap,lap,map,sea
samuel|male,meal,sale,same,seal,slam,sea,sue,sum,use
sandy|sand,and,any,day,dna,sad,say
saturn|aunt,star,turn,art,nut,rat,run,sun
sauce|cause,sauce,case,cue,sea,sue,use
saving|saving,gain,sign,sing,gas,sin,van,via
saying|gain,sign,sing,any,gas,gay,say,sin
scales|class,sales,scale,case,less,sale,seal,ass,sea
scared|sacred,scared,raced,scare,card,care,case,dare,dear,race,read,car,ear,era,red,sad,sea
schema|chase,shame,case,cash,each,same,ash,sea,she
scope|copse,scope,cope,pose,ceo,cop
scored|score,code,cord,core,dose,rose,ceo,red,rod
scotia|coast,cast,coat,cost,act,cat,its,sit
script|script,strip,rips,spit,stir,trip,its,pit,rip,sir,sit,tip
sealed|eased,deal,ease,else,lead,sale,seal,seed,sad,sea,see
search|search,chase,crash,reach,scare,share,care,case,cash,each,hear,hers,race,ash,car,ear,era,her,sea,she
season|season,nose,ass,one,sea,son
seat|east,seat,eat,sea,set,tea
seats|asset,east,seat,ass,eat,sea,set,tea
second|second,code,dose,nose,once,send,ceo,end,nod,one,son
secret|secret,steer,rest,tree,etc,see,set
sector|sector,score,store,core,cost,rest,rose,sort,tore,ceo,etc,set,toe
secure|rescue,secure,cure,sure,user,cue,see,sue,use
select|select,elect,steel,else,etc,let,see,set
senate|senate,ease,east,neat,nest,seat,teen,eat,net,sea,see,set,tea,ten
sender|dense,sneer,deer,need,seed,send,end,red,see
senior|senior,noise,iron,nose,rein,rise,rose,nor,one,sin,sir,son
sensor|sensor,snores,nose,rose,nor,one,son
serbia|arise,raise,bare,base,bear,bias,rise,air,bar,ear,era,rib,sea,sir
serial|aisle,arise,laser,raise,rail,real,rise,sail,sale,seal,air,ear,era,lie,sea,sir
serum|sure,user,mrs,sue,sum,use
served|serve,deer,ever,seed,red,see
settle|settle,steel,else,test,let,see,set
setup|upset,step,pet,put,set,sue,use
sewing|swing,news,sewn,sign,sing,swig,wine,wing,wise,new,sin,win
sexual|sexual,sale,seal,sea,sex,sue,use
shade|shade,head,shed,ash,sad,sea,she
shades|shade,head,sash,shed,ash,ass,sad,sea,she
shadow|shadow,show,wash,ash,how,sad,who
shake|shake,sake,ash,ask,sea,she
shape|heaps,phase,shape,ash,sea,she
shaped|heaps,phase,shade,shape,head,shed,ash,pad,sad,sea,she
shapes|heaps,phase,shape,pass,sash,ash,ass,sea,she
share|share,hear,hers,ash,ear,era,her,sea,she
shared|shared,shade,share,shred,dare,dear,hard,head,hear,hers,read,shed,ash,ear,era,her,red,sad,sea,she
shares|share,hear,hers,sash,ash,ass,ear,era,her,sea,she
shaved|shade,have,head,save,shed,ash,sad,sea,she
sheer|sheer,here,hers,her,see,she
sheet|sheet,these,see,set,she,the
sheets|sheet,these,see,set,she,the
shield|sidle,slide,dish,hide,shed,side,slid,die,his,lid,lie,she
shift|shift,fish,fist,shit,this,fit,his,hit,its,sit
shirt|shirt,shit,stir,this,his,hit,its,sir,sit
shirts|shirt,shit,stir,this,his,hit,its,sir,sit
shoot|shoot,host,shot,soot,hot,too
shore|horse,shore,hero,hers,rose,shoe,her,she
shorts|shorts,short,sorts,host,shot,sort,toss,hot
showed|whose,dose,shed,shoe,show,how,owe,she,wed,who
shower|shower,horse,shore,whose,worse,hero,hers,rose,shoe,show,her,how,owe,row,she,who
shown|shown,show,snow,how,now,own,son,who
sierra|arise,raise,rare,rear,rise,air,ear,era,sea,sir
sight|sight,shit,sigh,this,his,hit,its,sit
signal|signal,gain,lain,nail,sail,sign,sing,gas,sin
signed|design,singed,deign,snide,send,side,sign,sing,die,dig,din,end,sin
signup|sign,sing,snug,spin,spun,gun,nip,pig,pin,sin,sun
silent|listen,silent,lens,line,list,nest,site,slit,tile,its,let,lie,net,set,sin,sit,ten,tie
silver|silver,sliver,liver,evil,live,rise,lie,sir
simple|simple,piles,smile,limp,mile,pile,slim,slip,lie,lip,pie
simply|simply,imply,slimy,limp,slim,slip,lip,sly,spy
singer|resign,singer,grin,rein,ring,rise,sign,sing,sin,sir
single|single,lens,line,sign,sing,leg,lie,sin
sister|resist,sister,rest,rise,site,stir,tire,its,set,sir,sit,tie
sixth|sixth,shit,this,his,hit,its,sit,six
skiing|king,sign,sing,sink,skin,sin,ski
skills|skill,kill,kiss,silk,ill,ski
skirt|skirt,risk,stir,its,kit,sir,sit,ski
skirts|skirt,kiss,risk,stir,its,kit,sir,sit,ski
slide|sidle,slide,side,slid,die,lid,lie
slides|sidle,slide,less,side,slid,die,lid,lie
slight|slight,light,sight,list,shit,sigh,slit,this,his,hit,its,sit
slope|slope,lose,pole,pose,slop,sole
slots|loss,lost,lots,slot,toss,lot
smart|smart,star,arm,art,mrs,rat
smith|mist,shit,this,him,his,hit,its,sit
smooth|smooth,shoot,host,most,shot,soot,hot,too
snake|snake,sneak,sake,sank,ask,sea
social|social,also,coal,sail,soil,oil
socket|stock,cost,sock,ceo,etc,set,toe
solely|solely,lose,sell,sole,yell,sly,yes
solid|solid,slid,soil,lid,oil,old
solved|solve,dose,lose,love,sole,old
sorted|strode,dotes,store,dose,rest,rose,sort,tore,trod,dot,red,rod,set,toe
sought|ghost,ought,shout,south,tough,gush,gust,host,shot,shut,thus,gut,hot,hug,out,tug
source|course,source,score,core,cure,ours,rose,sour,sure,user,ceo,cue,our,sue,use
south|shout,south,host,shot,shut,thus,hot,out
soviet|soviet,stove,site,vote,its,set,sit,tie,toe
space|paces,space,case,pace,cap,sea
spaces|paces,space,case,pace,pass,ass,cap,sea
spain|pain,snap,spin,nip,pan,pin,sin
spare|spare,rape,rasp,ear,era,per,rap,sea
speaks|speak,pass,peak,sake,ask,ass,sea
spears|press,rasps,spare,pass,rape,rasp,ass,ear,era,per,rap,sea
spent|nest,step,net,pen,pet,set,ten
sphere|sphere,sheep,sheer,here,hers,peer,her,per,see,she
spider|pride,prise,dire,ride,rips,rise,side,die,dip,per,pie,red,rid,rip,sir
spine|spine,pine,spin,nip,pen,pie,pin,sin
spirit|spirit,strip,rips,spit,stir,trip,its,pit,rip,sir,sit,tip
split|split,list,slip,slit,spit,its,lip,pit,sit,tip
spoken|nose,open,poke,pose,one,pen,son
sport|sport,port,post,sort,spot,stop,opt,pot,pro,top
sports|sorts,sport,port,post,sort,spot,stop,toss,opt,pot,pro,top
spot|post,spot,stop,opt,pot,top
spots|post,spot,stop,toss,opt,pot,top
spray|spray,pray,rasp,pay,rap,say,spy
spread|rasped,spread,spare,dare,dear,rape,rasp,read,ear,era,pad,per,rap,red,sad,sea
spring|spring,grin,grip,ring,rips,sign,sing,spin,nip,pig,pin,rip,sin,sir
sprint|sprint,print,strip,rips,spin,spit,stir,trip,its,nip,pin,pit,rip,sin,sir,sit,tip
square|square,sure,user,ear,era,sea,sue,use
squirt|squirt,quit,stir,suit,its,sir,sit
stable|stable,beast,blast,bleat,least,stale,steal,table,able,base,beat,belt,best,east,last,late,sale,salt,seal,seat,tale,bat,bet,eat,lab,let,sea,set,tea
stack|stack,cast,sack,task,act,ask,cat
stage|stage,east,gate,seat,age,eat,gas,get,sea,set,tag,tea
stages|asset,stage,east,gate,seat,age,ass,eat,gas,get,sea,set,tag,tea
stake|stake,steak,east,sake,seat,take,task,ask,eat,sea,set,tea
stamp|stamp,past,spat,apt,map,pat,tap
stamps|spasm,stamp,mass,pass,past,spat,apt,ass,map,pat,tap
stands|stand,sand,and,ass,dna,sad
state|state,taste,east,seat,test,eat,sea,set,tea
stated|state,taste,date,east,seat,test,eat,sad,sea,set,tea
states|asset,state,taste,east,seat,test,ass,eat,sea,set,tea
stayed|steady,date,east,easy,seat,stay,day,eat,sad,say,sea,set,tea,yes,yet
steady|steady,date,east,easy,seat,stay,day,eat,sad,say,sea,set,tea,yes,yet
steal|least,stale,steal,east,last,late,sale,salt,seal,seat,tale,eat,let,sea,set,tea
steam|steam,east,mate,meat,same,seat,stem,team,eat,sea,set,tea
stereo|steer,store,rest,rose,sort,tore,tree,see,set,toe
steven|event,seven,even,nest,teen,vent,net,see,set,ten
stick|stick,sick,its,kit,sit,ski
sticks|stick,kiss,sick,its,kit,sit,ski
sticky|sticky,stick,city,sick,its,kit,sit,ski,sky
still|still,list,slit,till,ill,its,sit
stolen|stole,stone,lens,lose,lost,lots,nest,nose,note,slot,sole,tone,let,lot,net,not,one,set,son,ten,toe
stone|stone,nest,nose,note,tone,net,not,one,set,son,ten,toe
stones|stone,nest,nose,note,tone,toss,net,not,one,set,son,ten,toe
stop|post,spot,stop,opt,pot,top
stops|post,spot,stop,toss,opt,pot,top
store|store,rest,rose,sort,tore,set,toe
stored|strode,dotes,store,dose,rest,rose,sort,tore,trod,dot,red,rod,set,toe
stores|sorts,store,rest,rose,sort,tore,toss,set,toe
strain|strain,stair,train,rain,star,stir,air,art,its,rat,sin,sir,sit
strand|stand,dart,sand,star,and,art,dna,rat,sad
strap|part,past,prat,rapt,rasp,spat,star,trap,apt,art,pat,rap,rat,tap
stream|master,stream,smart,stare,steam,terms,east,mate,meat,rate,ream,rest,same,seat,star,stem,team,tear,term,arm,art,ear,eat,era,mrs,rat,sea,set,tea
street|street,steer,rest,test,tree,see,set
strike|strike,skirt,rest,rise,risk,site,stir,tire,its,kit,set,sir,sit,ski,tie
string|string,grin,ring,sign,sing,stir,its,sin,sir,sit
strip|strip,rips,spit,stir,trip,its,pit,rip,sir,sit,tip
strips|strip,rips,spit,stir,trip,its,pit,rip,sir,sit,tip
stroke|stroke,store,rest,rose,sort,tore,set,toe
strong|strong,snort,song,sort,torn,nor,not,son
stuart|start,trust,star,taut,art,rat
studio|studio,dust,suit,dot,its,out,sit
stupid|stupid,dust,spit,suit,dip,its,pit,put,sit,tip
style|style,let,set,sly,yes,yet
styles|style,less,let,set,sly,yes,yet
submit|submit,bust,mist,must,suit,bit,bus,but,its,sit,sum,tub
subtle|bustle,subtle,belt,best,blue,bust,tube,bet,bus,but,let,set,sue,tub,use
sudden|sudden,send,used,due,end,sue,sun,use
suffer|suffer,ruffs,ruff,sure,user,fur,sue,use
suite|suite,site,suit,its,set,sit,sue,tie,use
suited|suite,diet,dust,edit,side,site,suit,tide,used,die,due,its,set,sit,sue,tie,use
suites|tissue,issue,suite,site,suit,its,set,sit,sue,tie,use
summer|summer,sure,user,mrs,mum,sue,sum,use
summit|summit,mist,must,suit,its,mum,sit,sum
sunday|sunday,sand,and,any,day,dna,sad,say,sun
sunset|nest,tune,net,nut,set,sue,sun,ten,use
super|purse,super,pure,spur,sure,user,per,sue,use
superb|purse,super,pure,spur,sure,user,bus,per,rub,sue,use
surely|surely,surly,rely,rule,sure,user,sly,sue,use,yes
survey|survey,sure,user,very,sue,use,yes
sweden|dense,need,news,seed,send,sewn,weed,end,new,see,wed
swing|swing,sign,sing,swig,wing,sin,win
switch|switch,shit,this,wish,with,his,hit,its,sit
system|system,mess,stem,set,yes,yet
table|bleat,table,able,beat,belt,late,tale,bat,bet,eat,lab,let,tea
tables|stable,beast,blast,bleat,least,stale,steal,table,able,base,beat,belt,best,east,last,late,sale,salt,seal,seat,tale,bat,bet,eat,lab,let,sea,set,tea
tablet|battle,bleat,table,able,beat,belt,late,tale,bat,bet,eat,lab,let,tea
tackle|tackle,cake,lack,lake,late,take,tale,talk,act,cat,eat,etc,let,tea
tagged|date,gate,age,eat,egg,get,tag,tea
tahoe|hate,heat,eat,hat,hot,tea,the,toe
taiwan|await,twin,wait,want,wan,win
taken|neat,take,tank,eat,net,tea,ten
takes|stake,steak,east,sake,seat,take,task,ask,eat,sea,set,tea
taking|giant,gain,gait,king,knit,tank,kit,tag
talent|talent,lane,late,lean,neat,tale,tent,eat,let,net,tea,ten
tales|least,stale,steal,east,last,late,sale,salt,seal,seat,tale,eat,let,sea,set,tea
talked|date,deal,lake,late,lead,take,tale,talk,eat,let,tea
tape|tape,apt,eat,pat,pet,tap,tea
tapes|spate,east,past,seat,spat,step,tape,apt,eat,pat,pet,sea,set,tap,tea
target|target,grate,great,treat,gate,gear,rage,rate,tear,age,art,ear,eat,era,get,rat,tag,tea
tariff|fair,air,art,far,fat,fit,rat
taste|state,taste,east,seat,test,eat,sea,set,tea
taught|taut,that,gut,hat,hug,tag,tug
taxes|east,seat,eat,sea,set,sex,tax,tea
taylor|royal,oral,tray,art,lay,lot,rat,toy,try
teach|cheat,teach,each,hate,heat,act,cat,eat,etc,hat,tea,the
teams|steam,east,mate,meat,same,seat,stem,team,eat,sea,set,tea
tear|rate,tear,art,ear,eat,era,rat,tea
tears|stare,east,rate,rest,seat,star,tear,art,ear,eat,era,rat,sea,set,tea
techno|echo,note,once,then,tone,ceo,etc,hot,net,not,one,ten,the,toe
teens|nest,teen,net,see,set,ten
temple|temple,meet,melt,peel,let,pet
tenant|neat,tent,eat,net,tea,ten
tender|tender,enter,trend,deer,dent,need,rent,teen,tend,tree,end,net,red,ten
tennis|tennis,nest,nine,site,its,net,set,sin,sit,ten,tie
terms|terms,rest,stem,term,mrs,set
texas|east,seat,eat,sea,set,sex,tax,tea
thanks|thanks,thank,sank,tank,task,than,ash,ask,hat
thehun|hunt,then,tune,hue,huh,net,nut,ten,the
their|their,hire,tire,her,hit,the,tie
themes|sheet,theme,these,meet,seem,stem,them,see,set,she,the
theory|theory,other,hero,they,tore,her,hey,hot,the,toe,toy,try,yet
there|there,three,here,tree,her,the
these|sheet,these,see,set,she,the
thesis|shit,site,this,his,hit,its,set,she,sit,the,tie
theta|hate,heat,that,eat,hat,tea,the
things|night,sight,thing,hint,shit,sigh,sign,sing,thin,this,his,hit,its,sin,sit
think|think,hint,knit,thin,hit,kit
thinks|think,hint,knit,shit,sink,skin,thin,this,his,hit,its,kit,sin,sit,ski
this|shit,this,his,hit,its,sit
thomas|host,math,most,shot,ash,hat,hot
thongs|ghost,host,shot,song,hot,not,son
those|those,host,shoe,shot,hot,set,she,the,toe
though|though,ought,tough,gut,hot,hug,huh,out,tug
thread|thread,death,earth,heart,trade,dare,dart,date,dear,hard,hate,head,hear,heat,rate,read,tear,art,ear,eat,era,hat,her,rat,red,tea,the
threat|threat,earth,heart,treat,hate,hear,heat,rate,tear,that,art,ear,eat,era,hat,her,rat,tea,the
three|there,three,here,tree,her,the
throat|throat,that,trot,art,hat,hot,rat
throw|throw,worth,hot,how,row,two,who
thrown|thrown,north,throw,worth,horn,torn,town,hot,how,nor,not,now,own,row,two,who
throws|short,throw,worth,host,shot,show,sort,stow,hot,how,row,two,who
thumbs|thumb,bush,bust,must,shut,thus,bus,but,sum,tub
ticket|ticket,cite,etc,ice,kit,tie
tigers|rest,rise,site,stir,tire,get,its,set,sir,sit,tie
tiles|list,site,slit,tile,its,let,lie,set,sit,tie
timber|timber,merit,tribe,bite,item,term,time,tire,trim,bet,bit,rib,rim,tie
timely|timely,item,melt,mile,tile,time,let,lie,tie,yet
timer|merit,item,term,time,tire,trim,rim,tie
times|item,mist,site,stem,time,its,set,sit,tie
tions|into,its,not,sin,sit,son
tired|tired,diet,dire,dirt,edit,ride,tide,tire,die,red,rid,tie
tires|rest,rise,site,stir,tire,its,set,sir,sit,tie
tissue|tissue,issue,suite,site,suit,its,set,sit,sue,tie,use
titled|tilted,title,diet,edit,tide,tile,die,let,lid,lie,tie
titles|title,list,site,slit,test,tile,its,let,lie,set,sit,tie
tobago|boat,boot,goat,ago,bag,bat,tag,too
toilet|toilet,title,tile,let,lie,lot,oil,tie,toe
token|note,tone,net,not,one,ten,toe
tone|note,tone,net,not,one,ten,toe
toner|note,rent,tone,tore,torn,net,nor,not,one,ten,toe
tones|stone,nest,nose,note,tone,net,not,one,set,son,ten,toe
tongue|tongue,note,tone,tune,ego,get,gun,gut,net,not,nut,one,out,ten,toe,tug
tools|lost,lots,slot,soot,tool,lot,too
topic|topic,cop,opt,pit,pot,tip,top
topics|topic,cost,post,spit,spot,stop,cop,its,opt,pit,pot,sit,tip,top
tops|post,spot,stop,opt,pot,top
totals|total,also,last,lost,lots,salt,slot,lot
tough|ought,tough,gut,hot,hug,out,tug
tours|ours,sort,sour,tour,our,out
toward|toward,dart,draw,road,trod,word,art,dot,rat,raw,rod,row,two,war
tower|tower,tore,owe,row,toe,two,wet
towers|store,tower,worse,rest,rose,sort,stow,tore,west,owe,row,set,toe,two,wet
